Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
482,Rob Ducey*,26,TOR,AL,0.2,39,75,68,8,16,2,2,1,4,2,0,6,26,.235,.297,.368,.665,81,.308,72,25,1,0,1,0,0,7H/9D8,,duceyro01
483,Tony Perezchica,25,2TM,2LG,0.0,40,75,70,6,19,6,1,0,3,0,1,5,17,.271,.320,.386,.706,99,.313,94,27,0,0,0,0,0,6H/45D,,perezto02
484,Tony Perezchica,25,SFG,NL,-0.3,23,50,48,2,11,4,1,0,3,0,1,2,12,.229,.260,.354,.614,75,.265,64,17,0,0,0,0,0,6/4H,,perezto02
485,Tony Perezchica,25,CLE,AL,0.3,17,25,22,4,8,2,0,0,0,0,0,3,5,.364,.440,.455,.895,148,.408,150,10,0,0,0,0,0,/H654D,,perezto02
486,Tim Belcher,29,LAD,NL,-0.2,33,74,67,3,8,2,0,0,3,0,0,0,26,.119,.119,.149,.269,-24,.134,-54,10,1,0,7,0,0,1,,belchti01
487,Pete Harnisch#,24,HOU,NL,-0.2,33,74,62,4,6,1,0,0,4,0,1,4,21,.097,.149,.113,.262,-23,.136,-41,7,1,0,7,1,0,1,AS,harnipe01
488,Keith Mitchell,21,ATL,NL,0.2,48,74,66,11,21,0,0,2,5,3,1,8,12,.318,.392,.409,.801,121,.398,140,27,1,0,0,0,0,7H9/8,,mitchke02
489,Bryn Smith,35,STL,NL,0.5,31,74,65,6,16,1,0,0,8,0,0,1,11,.246,.254,.262,.515,46,.248,34,17,0,0,7,1,0,1,,smithbr01
490,Ed Taubensee*,22,CLE,AL,-0.5,26,73,66,5,16,2,1,0,8,0,0,5,16,.242,.288,.303,.591,64,.263,48,20,1,0,0,2,1,2/H,,taubeed01
491,Scott Brosius,24,OAK,AL,0.0,36,72,68,9,16,5,0,2,4,3,1,3,11,.235,.268,.397,.665,87,.312,88,27,2,0,1,0,0,49/5H7D,,brosisc01
492,Dwight Gooden,26,NYM,NL,0.5,27,71,63,7,15,3,0,1,6,1,1,0,9,.238,.238,.333,.571,60,.252,40,21,1,0,8,0,0,1,,goodedw01
493,Ernie Whitt*,39,BAL,AL,0.2,35,70,62,5,15,2,0,0,3,0,0,8,12,.242,.329,.274,.603,72,.288,71,17,3,0,0,0,0,2H/D,,whitter01
494,Todd Hundley#,22,NYM,NL,-0.4,21,69,60,5,8,0,1,1,7,0,0,6,14,.133,.221,.217,.437,24,.210,13,13,3,1,1,1,0,2/H,,hundlto01
495,Bobby Rose,24,CAL,AL,0.2,22,69,65,5,18,5,1,1,8,0,0,3,13,.277,.304,.431,.735,103,.337,103,28,1,0,0,1,0,/475H39,,rosebo01
496,Bob Tewksbury,30,STL,NL,0.1,30,69,58,5,9,1,0,0,2,0,0,4,16,.155,.210,.172,.382,9,.184,-18,10,1,0,7,0,0,1,,tewksbo01
