,matchId,gameDurationSeconds,championBlueTop,championBlueJG,championBlueMid,championBlueBot,championBlueSup,championRedTop,championRedJG,championRedMid,championRedBot,championRedSup,goldDifference,blueGrubCount,redGrubCount,blueDragonCount,redDragonCount,blueBaronCount,redBaronCount,blueAtakhan,redAtakhan,winner
0,NA1_5245002116,1573,41,234,91,236,111,240,238,127,222,267,1465,6,0,2,1,0,0,1,0,0
0,NA1_5244948645,2050,799,245,7,498,117,887,421,517,145,53,3087,0,6,2,3,0,1,1,0,1
0,NA1_5244942129,1807,54,60,127,145,43,122,203,84,21,57,2471,3,3,1,3,0,1,0,1,1
0,NA1_5244933773,1872,24,122,245,523,43,164,32,101,222,888,550,6,0,2,3,1,0,0,1,0
0,NA1_5244923805,1585,23,30,157,523,37,875,121,8,51,43,-4723,3,3,1,2,0,0,0,1,1
0,NA1_5244423598,1290,875,200,136,202,16,84,107,910,81,37,-4348,2,0,1,2,0,0,0,1,1
0,NA1_5244409953,1770,84,427,136,18,412,79,104,127,202,80,1484,4,2,4,0,1,0,1,0,0
0,NA1_5244399092,1740,420,35,103,119,89,266,154,127,360,80,281,0,6,3,1,1,0,1,0,0
0,NA1_5244358560,1832,114,234,112,119,53,10,104,136,222,43,-1521,6,0,3,1,1,0,1,0,0
0,NA1_5244325785,1839,86,104,42,112,350,41,200,103,800,99,-2911,3,3,0,4,0,1,0,1,1
0,NA1_5244309061,988,68,141,13,42,17,897,121,31,51,432,-4259,0,6,0,1,0,0,0,0,1
0,NA1_5244297736,1776,98,64,142,42,43,6,35,99,145,111,2986,2,4,1,3,0,1,0,1,1
0,NA1_5244282955,1565,17,131,517,42,267,24,887,13,51,555,-1963,3,3,3,1,0,0,0,1,1
0,NA1_5244237319,1541,266,245,711,62,89,17,122,800,222,201,2249,4,2,1,2,0,0,1,0,0
0,NA1_5235855570,2336,114,64,69,67,60,122,28,92,145,800,-800,2,4,2,4,1,0,1,0,1
0,NA1_5235448518,1694,164,106,103,110,78,887,107,166,67,497,225,6,0,1,3,0,1,1,0,1
0,NA1_5235129813,1903,164,25,238,268,800,24,154,163,110,43,-7830,3,3,2,2,1,0,1,0,0
0,NA1_5234183973,969,516,59,1,119,235,266,80,103,110,111,3877,4,2,1,1,0,0,0,0,0
0,NA1_5228165957,1912,13,203,134,81,43,150,106,517,67,117,-2493,3,3,0,4,0,1,0,1,1
0,NA1_5228082807,1908,875,106,112,110,80,221,143,517,897,526,3201,3,3,3,2,1,0,1,0,1
0,NA1_5228053653,2431,122,30,777,67,555,86,57,893,81,43,1674,6,0,4,2,0,2,0,1,1
0,NA1_5227941069,1480,86,131,90,67,3,133,64,901,99,497,-4338,1,4,0,3,0,0,0,1,1
0,NA1_5227694055,1797,421,11,142,110,35,150,131,126,21,89,798,3,3,3,1,0,0,0,1,1
0,NA1_5227560367,1348,799,106,800,119,412,58,121,127,67,164,4815,6,0,1,2,0,0,1,0,0
0,NA1_5227463517,2168,897,427,50,110,32,122,143,777,145,235,3812,3,3,2,3,0,2,1,0,1
0,NA1_5226248670,1387,17,59,4,51,57,8,64,112,110,43,-1399,0,6,0,3,0,0,0,1,1
0,NA1_5226214755,1876,6,5,105,81,43,240,19,800,67,117,1006,3,3,3,1,1,0,0,1,1
0,NA1_5225989678,1166,240,876,166,67,117,24,104,50,43,267,4697,6,0,2,0,0,0,0,0,0
0,NA1_5243711010,1699,24,141,910,115,16,86,122,3,147,37,-3194,1,5,0,4,0,1,0,1,1
0,NA1_5241306839,1989,875,141,134,81,44,59,200,61,910,555,-2158,3,3,5,0,1,0,1,0,0
0,NA1_5237731861,1228,164,126,127,800,526,266,245,238,50,350,5687,6,0,1,1,0,0,0,0,0
0,NA1_5237727021,911,126,141,127,800,350,133,120,517,50,526,6501,6,0,1,1,0,0,0,0,0
0,NA1_5237702267,1400,114,121,112,110,43,126,141,1,21,235,-2770,5,1,1,2,0,0,0,0,1
0,NA1_5237686139,962,114,91,131,22,60,54,141,134,222,201,-4254,6,0,0,2,0,0,0,0,1
0,NA1_5237675708,1313,8,234,800,145,32,127,141,67,222,902,4213,0,6,3,0,0,0,1,0,0
0,NA1_5237628809,1570,92,141,68,800,12,58,234,238,893,235,-470,5,1,0,4,0,0,0,1,1
0,NA1_5237100118,918,78,77,18,901,60,126,245,157,895,111,5638,3,3,2,0,0,0,0,0,0
0,NA1_5237092882,1988,78,141,134,800,526,107,72,133,15,7,-1578,6,0,2,2,0,1,0,1,0
0,NA1_5236765557,1758,54,104,157,147,57,85,141,131,15,555,-970,6,0,4,0,0,0,0,1,0
0,NA1_5236747916,1669,122,30,238,147,12,14,141,245,236,57,-1884,3,3,1,3,1,0,1,0,0
0,NA1_5236416387,1311,80,91,85,21,800,92,141,166,910,518,1130,5,1,1,1,0,0,1,0,0
0,NA1_5236378671,1406,92,141,517,222,117,233,121,777,523,103,2642,5,1,3,0,0,0,1,0,0
0,NA1_5236356858,912,122,60,157,221,117,62,245,91,429,223,-5612,3,3,0,2,0,0,0,0,1
0,NA1_5236033152,1644,58,141,799,22,60,897,120,103,222,37,3040,4,2,2,1,1,0,1,0,0
0,NA1_5235873124,1457,86,44,799,99,142,24,141,245,21,16,678,0,6,3,0,0,0,1,0,0
0,NA1_5235850887,2162,114,141,131,22,518,85,238,14,222,117,-1024,3,3,4,1,1,0,1,0,0
0,NA1_5245518806,1534,266,122,131,22,43,80,876,166,99,111,-2987,0,6,0,3,0,0,1,0,1
0,NA1_5245508208,1683,6,60,166,51,40,236,427,8,119,98,186,6,0,1,3,1,0,1,0,0
0,NA1_5244946337,1384,10,234,43,42,50,39,91,131,51,12,2537,4,2,3,0,0,0,1,0,0
0,NA1_5244875146,1073,6,64,85,22,40,92,154,157,145,518,9957,4,2,2,0,0,0,0,0,0
0,NA1_5244724552,1145,799,35,142,81,43,41,154,8,222,902,6951,6,0,2,0,0,0,0,0,0
0,NA1_5244351540,1495,17,120,142,202,78,893,131,166,42,497,-2996,2,4,0,4,0,0,0,1,1
0,NA1_5244319415,1991,133,120,134,81,9,126,245,39,145,526,-3426,3,3,3,2,1,0,1,0,0
0,NA1_5244287774,1879,36,141,8,119,99,92,122,103,51,267,2534,0,6,2,2,0,1,0,1,1
0,NA1_5242399012,1679,133,30,233,18,350,79,234,131,51,111,-1811,3,3,0,4,0,1,0,1,1
0,NA1_5242346635,1662,27,33,238,51,37,799,427,268,222,111,2258,6,0,1,2,0,0,1,0,0
0,NA1_5242268211,1954,157,28,61,42,526,80,5,84,147,412,482,2,4,2,2,1,0,0,1,0
0,NA1_5241842420,2131,266,76,518,81,555,79,104,54,145,201,2612,6,0,3,2,1,1,1,0,0
0,NA1_5244798979,1182,133,887,39,51,40,72,35,8,81,43,2569,5,1,1,1,0,0,0,0,0
0,NA1_5244123593,1728,875,245,4,81,350,893,5,7,18,40,-4105,2,4,3,1,0,1,0,1,1
0,NA1_5243952411,1347,104,887,103,202,526,133,245,517,110,555,-2159,2,4,2,1,0,0,1,0,0
0,NA1_5243031078,1630,24,254,90,22,50,412,20,103,236,89,247,4,2,0,4,0,0,0,1,1
0,NA1_5243013303,2112,777,32,268,21,526,126,20,34,236,101,-1174,4,2,0,5,1,0,0,1,1
0,NA1_5242959208,1891,14,234,163,22,201,122,80,799,800,497,-974,2,4,3,2,0,1,0,1,1
0,NA1_5242934308,1625,85,80,517,15,1,799,233,126,145,111,3084,5,1,3,1,0,0,1,0,0
0,NA1_5242083847,1493,79,122,38,222,117,24,2,245,523,12,-231,6,0,0,4,0,0,0,1,1
0,NA1_5241310105,1524,266,234,799,99,12,777,30,31,51,432,6104,5,1,3,0,0,0,1,0,0
0,NA1_5240119930,1877,84,56,246,51,201,24,91,163,81,43,-4337,1,5,0,4,0,1,0,1,1
0,NA1_5240108841,1227,92,24,246,800,432,266,80,45,18,101,339,4,2,0,2,0,0,0,0,1
0,NA1_5240058184,1739,8,203,69,901,40,126,200,112,119,12,-4549,3,3,0,4,1,0,0,1,1
0,NA1_5244576957,919,240,245,42,157,267,92,68,80,29,350,-2046,2,4,0,0,0,0,0,0,1
0,NA1_5243014478,1715,75,876,246,222,117,92,68,98,202,53,-2758,0,6,0,3,0,1,0,1,1
0,NA1_5242548692,1790,15,234,68,222,117,24,64,79,22,53,-1566,5,1,1,3,0,0,1,0,0
0,NA1_5242500939,2134,98,91,68,51,37,85,120,90,15,16,-715,1,3,1,4,0,2,0,1,1
0,NA1_5237014485,1743,122,64,82,236,111,24,68,20,145,555,1739,5,1,2,2,1,0,1,0,0
